Compound_new_ID	nonstereo_aromatic_smiles	Uniprot_ID	pref_name	activity_id	mean_log	selected_stvalue	ORGANISM
ID_55647	COc1ccc(Cn2ncc3c(Nc4cc(-c5cc(Cl)ccc5F)ncc4C(C)C)ncnc32)cc1	P36898		{('534342', 'BDB')}		IC50	mouse
ID_2564	COc1ccc2c(c1)c1c3c(c4c5ccccc5n(C)c4c1n2CCC#N)C(=O)NC3=O	P16277	Tyrosine-protein kinase BLK	{('50003443', 'BDB')}		IC50	mouse
ID_36131	Cn1c2ccccc2c2c3c(c4c5ccccc5n(CCC#N)c4c21)CNC3=O	P16277	Tyrosine-protein kinase BLK	{('50003460', 'BDB')}		IC50	mouse
ID_44800	COc1ccc2c(c1)c1c3c(c4c5cc(OC)ccc5n(CCC#N)c4c1n2C)CNC3=O	P16277	Tyrosine-protein kinase BLK	{('50003464', 'BDB')}		IC50	mouse
ID_122737	CN(C)CC(O)Cn1c2ccccc2c2c3c(c4c5ccccc5n(C)c4c21)C(=O)NC3	P16277	Tyrosine-protein kinase BLK	{('50003473', 'BDB')}		IC50	mouse
ID_35359	COc1ccc2c(c1)c1c3c(c4c5ccccc5n(C)c4c1n2CC(O)CN(C)C)C(=O)NC3	P16277	Tyrosine-protein kinase BLK	{('50003492', 'BDB')}		IC50	mouse
ID_12131	COc1ccc(CCNC(=O)c2cc(NCc3cc(O)ccc3O)ccc2O)cc1	Q01279	Epidermal growth factor receptor erbB1	{('50185633', 'BDB')}		IC50	mouse
ID_13180	O=C(NCc1ccccc1)c1ccc(NCc2cc(O)ccc2O)cc1	Q01279	Epidermal growth factor receptor erbB1	{('50185640', 'BDB')}		IC50	mouse
ID_15551	O=C(NCCc1ccccc1)c1ccc(NCc2cc(O)ccc2O)cc1	Q01279	Epidermal growth factor receptor erbB1	{('50185657', 'BDB')}		IC50	mouse
ID_48369	O=C(NCCN1CCOCC1)c1cc(NCc2cc(O)ccc2O)ccc1O	Q01279	Epidermal growth factor receptor erbB1	{('50185665', 'BDB')}		IC50	mouse
ID_84167	CN(C)CCCn1nc(C2=C(c3cn(-c4csc5ccccc45)c4ccccc34)C(=O)NC2=O)c2ccccc21	Q01279	Epidermal growth factor receptor erbB1	{('50300827', 'BDB')}		IC50	mouse
ID_104635	CC(C)(O)Cn1c(=NC(=O)c2ccnc(-c3ccccc3)c2)[nH]c2ccccc21	Q01279	Epidermal growth factor receptor erbB1	{('51235741', 'BDB')}		IC50	mouse
ID_9549	CCCCOP(=O)(OCCCC)C(C#N)C(C)=O	Q03137	Ephrin type-A receptor 4	{('82609', 'BDB'), ('82475', 'BDB')}		IC50	mouse
ID_35540	CC1Cc2ccccc2N1Cc1nc2cc(C(F)(F)F)ccc2c(=O)[nH]1	Q03137	Ephrin type-A receptor 4	{('82632', 'BDB'), ('82498', 'BDB')}		IC50	mouse
ID_51307	CCN1C(=O)C(C=NN=Cc2ccccc2)c2ccc(C3=NNC(=O)CC3)cc21	Q03137	Ephrin type-A receptor 4	{('82503', 'BDB'), ('82637', 'BDB')}		IC50	mouse
ID_143354	CC(CC(=O)c1ccccc1)N=Nc1nc2ccccc2s1	Q03137	Ephrin type-A receptor 4	{('82660', 'BDB'), ('82526', 'BDB')}		IC50	mouse
ID_87151	CC(C)N(Cc1ccccc1)c1nc(Nc2ccc3ncsc3c2)[nH]c(=O)n1	P16092	Fibroblast growth factor receptor 1	{('50300691', 'BDB')}		IC50	mouse
ID_148578	CC(C)(Nc1nc(NO)nc(Nc2ccc3ncsc3c2)n1)c1ccccc1	P16092	Fibroblast growth factor receptor 1	{('50300693', 'BDB')}		IC50	mouse
ID_154000	CC(C)(Nc1nc(Nc2ccc3ncsc3c2)[nH]c(=O)n1)c1ccccc1	P16092	Fibroblast growth factor receptor 1	{('50300702', 'BDB')}		IC50	mouse
ID_84036	CCN(Cc1ccccc1)c1nc(Nc2ccc3ncsc3c2)[nH]c(=O)n1	P16092	Fibroblast growth factor receptor 1	{('50300715', 'BDB')}		IC50	mouse
ID_78632	CSc1ccc(C=C2C(=O)Nc3cccc(C)c32)s1	P35969	Vascular endothelial growth factor receptor 1	{('50112218', 'BDB')}		IC50	mouse
ID_58039	COc1ccc(C=C2C(=O)Nc3ccc(Cl)cc32)cc1C(C)(C)C	P35969	Vascular endothelial growth factor receptor 1	{('50112222', 'BDB')}		IC50	mouse
ID_8730	Cn1cc(Cl)c(C=C2C(=O)Nc3ccccc32)n1	P35969	Vascular endothelial growth factor receptor 1	{('50112226', 'BDB')}		IC50	mouse
ID_131069	O=C1Nc2ccc([N+](=O)[O-])cc2C1=Cc1ccc[nH]1	P35969	Vascular endothelial growth factor receptor 1	{('50112239', 'BDB')}		IC50	mouse
ID_66952	O=C1Nc2ccccc2C1=Cc1ccc(C(=O)O)cc1	P35969	Vascular endothelial growth factor receptor 1	{('50112253', 'BDB')}		IC50	mouse
ID_67873	O=CN1CCN(c2ccc(C=C3C(=O)Nc4ccc(Br)cc43)cc2)CC1	P35969	Vascular endothelial growth factor receptor 1	{('50112267', 'BDB')}		IC50	mouse
ID_98919	COc1c(Br)cc(C=C2C(=O)Nc3ccc(Cl)cc32)cc1C(C)(C)C	P35969	Vascular endothelial growth factor receptor 1	{('50112295', 'BDB')}		IC50	mouse
ID_77857	CC(=C1C(=O)Nc2ccccc21)c1ccc(N2CCCCC2)cc1	P35969	Vascular endothelial growth factor receptor 1	{('50112296', 'BDB')}		IC50	mouse
ID_158101	O=C1Nc2ccc(Br)cc2C1=Cc1ccc(N2CCOCC2)cc1	P35969	Vascular endothelial growth factor receptor 1	{('50112314', 'BDB')}		IC50	mouse
ID_59091	CN1C(=O)C(=Cc2ccc(Br)cc2)c2ccccc21	P35969	Vascular endothelial growth factor receptor 1	{('50112328', 'BDB')}		IC50	mouse
ID_29876	O=C1Nc2ccccc2C1=Cc1ccc(Br)cc1	P35969	Vascular endothelial growth factor receptor 1	{('50112346', 'BDB')}		IC50	mouse
ID_110562	O=C1Nc2ccccc2C1=Cc1cc(Br)cs1	P35969	Vascular endothelial growth factor receptor 1	{('50112413', 'BDB')}		IC50	mouse
ID_2375	O=C1Nc2ccccc2C1=Cc1ccco1	P35969	Vascular endothelial growth factor receptor 1	{('50112426', 'BDB')}		IC50	mouse
ID_100159	CCc1c(C)[nH]c(C=C2C(=O)Nc3ccccc32)c1C	P35969	Vascular endothelial growth factor receptor 1	{('50112443', 'BDB')}		IC50	mouse
ID_111217	COc1ccc(C=C2C(=O)Nc3ccccc32)cc1C(C)(C)C	P35969	Vascular endothelial growth factor receptor 1	{('50112465', 'BDB')}		IC50	mouse
ID_84167	CN(C)CCCn1nc(C2=C(c3cn(-c4csc5ccccc45)c4ccccc34)C(=O)NC2=O)c2ccccc21	P15208	Insulin receptor	{('50127290', 'BDB')}		IC50	mouse
ID_150583	Cc1nc(NC(=O)OC(C)(C)C)sc1C(=O)NCC1CCCCC1	P06240	Tyrosine-protein kinase LCK	{('50246887', 'BDB')}		IC50	mouse
ID_86716	Cc1nc(NC(=O)OC(C)(C)C)sc1C(=O)Nc1ccc(Cl)cc1Cl	P06240	Tyrosine-protein kinase LCK	{('50246890', 'BDB')}		IC50	mouse
ID_106644	Cc1nc(NC(=O)OC(C)(C)C)sc1C(=O)Nc1ccccc1[N+](=O)[O-]	P06240	Tyrosine-protein kinase LCK	{('50246893', 'BDB')}		IC50	mouse
ID_27299	Cc1nc(NC(=O)OC(C)(C)C)sc1C(=O)N1CCN(C=O)CC1	P06240	Tyrosine-protein kinase LCK	{('50246895', 'BDB')}		IC50	mouse
ID_169388	Cc1cccc(C(C)(C)C)c1NC(=O)c1sc(NC(=O)OC(C)(C)C)nc1C	P06240	Tyrosine-protein kinase LCK	{('50246896', 'BDB')}		IC50	mouse
ID_142942	COc1cc(NC(=O)c2sc(NC(=O)OC(C)(C)C)nc2C)cc(C(F)(F)F)c1	P06240	Tyrosine-protein kinase LCK	{('50246897', 'BDB')}		IC50	mouse
ID_160288	Cc1nc(NC(=O)OC(C)(C)C)sc1C(=O)Nc1ccccc1	P06240	Tyrosine-protein kinase LCK	{('50246910', 'BDB')}		IC50	mouse
ID_171262	Cc1nc(NC(=O)OC(C)(C)C)sc1C(=O)Nc1c(C(C)C)cccc1C(C)C	P06240	Tyrosine-protein kinase LCK	{('50246918', 'BDB')}		IC50	mouse
ID_135815	Cc1nc(NC(=O)OC(C)(C)C)sc1C(=O)NCC(C)(C)C	P06240	Tyrosine-protein kinase LCK	{('50246932', 'BDB')}		IC50	mouse
